Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate,,,,,State,Mean Death ,Mean Age Death Rate,,,,,,Mean,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,2313,52.2,,,,,Alabama,2414.263158,50.95263158,,,,,Year Date,Average death Amounted in terms of accidents in United States (all states combined) per year,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alaska,294,55.9,,,,,Alaska,354.9473684,56.87894737,,,,,1999,1918.823529,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,2214,44.8,,,,,Arizona,3060.210526,49.24210526,,,,,2000,1919.607843,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arkansas,1287,47.6,,,,,Arkansas,1422.473684,48.72105263,,,,,2001,1990.921569,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,California,9198,28.7,,,,,California,10945.31579,29.71578947,,,,,2002,2092.980392,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,1519,39,,,,,Colorado,2159.210526,45.16315789,,,,,2003,2142.686275,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Connecticut,1034,29.3,,,,,Connecticut,1390.736842,36.17894737,,,,,2004,2196.313725,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,267,35.3,,,,,Delaware,358.6842105,40.05789474,,,,,2005,2309.980392,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,District of Columbia,161,28.4,,,,,District of Columbia,225.5789474,36.78947368,,,,,2006,2384.294118,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,5961,35.7,,,,,Florida,8854.526316,44.01578947,,,,,2007,2425.607843,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3078,41.5,,,,,Georgia,3792.210526,42.61578947,,,,,2008,2390.235294,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Hawaii,293,24.3,,,,,Hawaii,444.3684211,30.93157895,,,,,2009,2314.137255,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,597,48.3,,,,,Idaho,674.4736842,45.30526316,,,,,2010,2369.784314,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Illinois,4125,33.7,,,,,Illinois,4415.894737,34.05263158,,,,,2011,2479.176471,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2309,38.4,,,,,Indiana,2662.052632,41.03157895,,,,,2012,2505.72549,
